TRADE_DATE,SECTOR,TOTAL_STOCKS,AVG_DAILY_RETURN,BEST_PERFORMER,WORST_PERFORMER,SECTOR_VOLUME
2026-02-11,Consumer Cyclical,2,-0.33596585686754143,TSLA,AMZN,122907500
2026-02-11,Financial Services,2,-1.0089010332443618,V,JPM,16967800
2026-02-11,Healthcare,1,1.053070880034232,JNJ,JNJ,6803900
2026-02-11,Technology,2,-0.6763290507081532,NVDA,MSFT,186683700
2026-02-12,Communication Services,1,-2.823431607154446,META,META,14960100
2026-02-12,Consumer Cyclical,2,-2.405191955792934,AMZN,TSLA,145908800
2026-02-12,Financial Services,2,-2.0843089811649693,V,JPM,22836000
2026-02-12,Healthcare,1,1.5320113061760339,JNJ,JNJ,10254300
2026-02-12,Technology,2,-1.1310380426550397,MSFT,NVDA,230734900
2026-02-13,Communication Services,1,-1.5450636439982504,META,META,12336400
2026-02-13,Consumer Cyclical,2,-0.15855253997196161,TSLA,AMZN,117755700
2026-02-13,Financial Services,2,-1.5726511080821062,JPM,V,20768400
2026-02-13,Healthcare,1,-0.4498082558939138,JNJ,JNJ,13268500
2026-02-13,Technology,2,-1.1693347966536927,MSFT,NVDA,195979600
2026-02-17,Communication Services,1,-0.07503344784083026,META,META,12674700
2026-02-17,Consumer Cyclical,2,-0.2220943889393573,AMZN,TSLA,129558000
2026-02-17,Financial Services,2,1.6197422089923852,V,JPM,17488500
2026-02-17,Healthcare,1,-0.049289430557278316,JNJ,JNJ,12703000
2026-02-17,Technology,2,0.03510929066820889,NVDA,MSFT,194355700
2026-02-18,Communication Services,1,-0.036757240006732785,META,META,9962039
2026-02-18,Consumer Cyclical,2,1.1147223872635723,AMZN,TSLA,68270751
2026-02-18,Financial Services,2,0.8449476769557083,JPM,V,7829772
2026-02-18,Healthcare,1,0.3575371350186165,JNJ,JNJ,4414250
2026-02-18,Technology,2,1.324244473872438,NVDA,MSFT,119362517
